ocorrencia_cidade,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_classificacao
JUNDIAÍ,SBJD,2012-08-03,20:00:00,INCIDENTE
SOROCABA,SDCO,2012-08-04,23:00:00,INCIDENTE
TATUÍ,SDTF,2012-08-08,15:00:00,INCIDENTE
JUNDIAÍ,SBJD,2012-08-12,15:15:00,INCIDENTE
ITÁPOLIS,SDIO,2012-08-15,20:40:00,INCIDENTE GRAVE
CAMPINAS,SDAM,2012-08-17,15:05:00,INCIDENTE
SÃO PAULO,Unkown,2012-08-19,18:30:00,INCIDENTE
SÃO PAULO,SBSP,2012-08-21,00:30:00,INCIDENTE
SÃO PAULO,SBMT,2012-08-25,21:10:00,INCIDENTE
CAMPINAS,SDAM,2012-08-30,19:25:00,INCIDENTE GRAVE
UBATUBA,Unkown,2012-09-03,16:40:00,INCIDENTE
PRESIDENTE PRUDENTE,SBDN,2012-09-08,15:50:00,INCIDENTE
JUNDIAÍ,SBJD,2012-09-09,12:00:00,INCIDENTE GRAVE
ITUPEVA,Unkown,2012-09-15,17:30:00,INCIDENTE
JUNDIAÍ,SBJD,2012-09-16,22:03:00,INCIDENTE
JUNDIAÍ,SBJD,2012-09-23,13:30:00,INCIDENTE
SÃO PAULO,SBMT,2012-09-30,23:00:00,INCIDENTE
ARTUR NOGUEIRA,Unkown,2012-10-02,11:10:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2012-10-05,19:38:00,INCIDENTE
CATANDUVA,SDCD,2012-10-07,15:30:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2012-10-15,17:42:00,INCIDENTE
CAMPINAS,SBKP,2012-10-17,11:35:00,INCIDENTE
CAMPINAS,Unkown,2012-10-20,22:43:00,INCIDENTE
GUARULHOS,SBGR,2012-10-27,21:12:00,INCIDENTE
AGUDOS,Unkown,2012-11-19,16:57:00,INCIDENTE
SÃO PAULO,SBMT,2012-11-20,15:40:00,INCIDENTE
SÃO PAULO,SBMT,2012-11-23,20:00:00,INCIDENTE
SÃO PAULO,SBMT,2012-11-24,12:33:00,INCIDENTE
CAMPINAS,SBKP,2012-11-27,00:11:00,INCIDENTE
CAMPINAS,SBKP,2012-11-28,07:15:00,INCIDENTE
GUARULHOS,SBGR,2012-12-06,18:20:00,INCIDENTE
JUNDIAÍ,SBJD,2012-12-08,10:20:00,INCIDENTE
SÃO PAULO,SBSP,2012-12-12,15:00:00,INCIDENTE
CAMPINAS,SDAM,2012-12-20,09:55:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBRP,2012-12-21,09:43:00,INCIDENTE GRAVE
BRAGANÇA PAULISTA,SBBP,2012-12-21,14:30:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2012-12-21,19:15:00,INCIDENTE
CAMPINAS,Unkown,2012-12-23,15:20:00,INCIDENTE
SÃO SEBASTIÃO,Unkown,2012-12-27,20:30:00,INCIDENTE
SÃO PAULO,Unkown,2012-12-28,16:30:00,INCIDENTE
UBATUBA,Unkown,2012-12-29,20:00:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-01-03,20:00:00,INCIDENTE
CAMPINAS,SBKP,2013-01-05,21:00:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-01-05,10:00:00,INCIDENTE
CAMPINAS,SBKP,2013-01-05,01:00:00,INCIDENTE
GUARULHOS,SBGR,2013-01-09,19:30:00,INCIDENTE
CAMPINAS,SDAM,2013-01-09,13:00:00,INCIDENTE
BOITUVA,Unkown,2013-01-11,21:50:00,INCIDENTE GRAVE
PRESIDENTE PRUDENTE,SBDN,2013-01-12,13:00:00,INCIDENTE
CAMPINAS,SBKP,2013-01-16,17:13:00,INCIDENTE
BIRITIBA-MIRIM,SDIH,2013-01-18,18:10:00,INCIDENTE
CAMPINAS,SBKP,2013-01-20,13:50:00,INCIDENTE
MARABÁ PAULISTA,SDNE,2013-01-25,11:15:00,INCIDENTE
BARRETOS,Unkown,2013-02-06,18:45:00,INCIDENTE
CAMPINAS,Unkown,2013-02-06,20:45:00,INCIDENTE
SÃO PAULO,SBMT,2013-02-07,13:15:00,INCIDENTE
CAÇAPAVA,SDIP,2013-02-13,15:30:00,INCIDENTE
CAMPINAS,SBKP,2013-02-14,22:00:00,INCIDENTE
UBATUBA,SDUB,2013-02-16,15:00:00,INCIDENTE GRAVE
PIRASSUNUNGA,Unkown,2013-02-16,09:20:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-02-21,20:21:00,INCIDENTE
ATIBAIA,SDVH,2013-02-23,17:00:00,INCIDENTE GRAVE
BOITUVA,SDOI,2013-02-24,14:00:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBRP,2013-02-26,21:20:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-02-26,19:40:00,INCIDENTE
SÃO PAULO,SBMT,2013-02-27,21:59:00,INCIDENTE
CAMPINAS,SBKP,2013-02-27,13:50:00,INCIDENTE
AMERICANA,SDAI,2013-02-28,17:10:00,INCIDENTE
GUARULHOS,SBGR,2013-03-05,23:45:00,INCIDENTE
CAMPINAS,Unkown,2013-03-05,19:36:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2013-03-06,12:15:00,INCIDENTE
CAMPINAS,SBKP,2013-03-16,14:25:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-03-18,22:28:00,INCIDENTE
GUARATINGUETÁ,SBGW,2013-03-20,12:40:00,INCIDENTE
JUNDIAÍ,SBJD,2013-03-20,11:10:00,INCIDENTE
BIRITIBA-MIRIM,SDIH,2013-03-22,18:45:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBRP,2013-03-25,20:40:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-03-25,18:25:00,INCIDENTE
CAMPINAS,SBKP,2013-03-26,16:40:00,INCIDENTE
BOTUCATU,SDBK,2013-03-27,20:25:00,INCIDENTE
GUARULHOS,SBGR,2013-03-28,10:35:00,INCIDENTE
TAUBATÉ,Unkown,2013-03-29,16:00:00,INCIDENTE GRAVE
GUARUJÁ,Unkown,2013-03-31,18:40:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,Unkown,2013-03-31,20:35:00,INCIDENTE
SÃO PAULO,SBSP,2013-04-09,15:45:00,INCIDENTE
BERTIOGA,Unkown,2013-04-18,14:10:00,INCIDENTE
JUNDIAÍ,SBJD,2013-04-21,14:55:00,INCIDENTE GRAVE
PRESIDENTE PRUDENTE,SBDN,2013-04-25,20:01:00,INCIDENTE
PRESIDENTE PRUDENTE,SBDN,2013-04-27,13:23:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2013-04-30,13:30:00,INCIDENTE GRAVE
SÃO JOSÉ DOS CAMPOS,SBSJ,2013-05-03,19:00:00,INCIDENTE
SÃO PAULO,SBSP,2013-05-03,14:12:00,INCIDENTE
GUARULHOS,SBGR,2013-05-08,17:28:00,INCIDENTE
GUARULHOS,SBGR,2013-05-08,14:20:00,INCIDENTE
TIETÊ,SDET,2013-05-25,13:30:00,INCIDENTE GRAVE
ARARAS,SDAA,2013-05-31,19:30:00,INCIDENTE
ATIBAIA,SDTB,2013-06-01,20:20:00,INCIDENTE
GUARULHOS,SBGR,2013-06-03,23:13:00,INCIDENTE
GUARULHOS,SBGR,2013-06-04,16:23:00,INCIDENTE
GUARULHOS,SBGR,2013-06-07,15:04:00,INCIDENTE
SÃO PAULO,Unkown,2013-06-17,18:30:00,INCIDENTE
SÃO PAULO,SBMT,2013-06-20,18:20:00,INCIDENTE
GUARULHOS,SBGR,2013-06-24,00:45:00,INCIDENTE
PENÁPOLIS,SDPN,2013-06-25,12:30:00,INCIDENTE GRAVE
BRAGANÇA PAULISTA,SBBP,2013-06-29,16:30:00,INCIDENTE
JUNDIAÍ,SBJD,2013-07-05,18:40:00,INCIDENTE
PIRASSUNUNGA,SDPY,2013-07-06,19:00:00,INCIDENTE
SÃO PAULO,SBMT,2013-07-11,17:15:00,INCIDENTE
CAMPINAS,SBKP,2013-07-24,03:30:00,INCIDENTE
SOROCABA,Unkown,2013-07-25,08:40:00,INCIDENTE
MIGUELÓPOLIS,Unkown,2013-07-30,13:30:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2013-08-10,15:50:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-08-16,19:30:00,INCIDENTE
JUNDIAÍ,SBJD,2013-08-17,06:30:00,INCIDENTE
JUNDIAÍ,SBJD,2013-08-17,11:30:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-08-18,19:04:00,INCIDENTE GRAVE
ANDRADINA,SDDN,2013-08-19,12:00:00,INCIDENTE
COSMÓPOLIS,Unkown,2013-08-23,16:33:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2013-08-26,18:00:00,INCIDENTE GRAVE
CAMPINAS,Unkown,2013-09-08,23:49:00,INCIDENTE
SÃO PAULO,SBMT,2013-09-14,18:41:00,INCIDENTE
SÃO PAULO,SBMT,2013-09-24,14:50:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2013-10-01,15:53:00,INCIDENTE
GUARULHOS,SBGR,2013-10-02,09:30:00,INCIDENTE
BRAGANÇA PAULISTA,SDJB,2013-10-10,16:40:00,INCIDENTE
SÃO PAULO,SBMT,2013-10-11,22:50:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBRP,2013-10-11,20:36:00,INCIDENTE
CAMPINAS,Unkown,2013-10-18,16:15:00,INCIDENTE
BRAGANÇA PAULISTA,Unkown,2013-10-19,12:00:00,INCIDENTE
SÃO PAULO,SBMT,2013-10-25,15:00:00,INCIDENTE
TIETÊ,SDET,2013-10-31,19:00:00,INCIDENTE
GUARULHOS,SBGR,2013-11-02,16:00:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2013-11-13,14:00:00,INCIDENTE
BIRITIBA-MIRIM,Unkown,2013-11-20,15:30:00,INCIDENTE
CAMPINAS,SBKP,2013-11-24,11:06:00,INCIDENTE
SÃO PAULO,Unkown,2013-12-05,20:00:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2013-12-05,00:15:00,INCIDENTE
GUARULHOS,SBGR,2013-12-07,07:00:00,INCIDENTE
CAMPINAS,Unkown,2013-12-11,01:30:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2013-12-18,20:14:00,INCIDENTE
